text,intent
"Peut-on payer la quotite de l'ordinateur en plusieurs fois ?",etudiant_ordinateur
"Je suis declare ineligible sur la plateforme ordinateur, que faire ?",etudiant_ordinateur
"Ma quotite n'a pas ete validee",etudiant_ordinateur
"Ma subvention pour l'ordinateur n'a pas ete accordee",etudiant_ordinateur
"Puis-je retourner mon ordinateur du programme 1E1O ?",etudiant_ordinateur
"Puis-je me faire rembourser la quotite de l'ordinateur ?",etudiant_ordinateur
"Mon ordinateur du programme 1E1O est en panne",etudiant_ordinateur
"Je ne vois pas mon nom sur la liste de distribution des ordinateurs",etudiant_ordinateur
"Comment savoir si j'ai un ordinateur a recuperer ?",etudiant_ordinateur
"Quelle est la dotation de donnees mensuelle avec la carte SIM ?",carte_sim
"Qui peut avoir une carte SIM etudiante ?",carte_sim
"Comment obtenir ma carte SIM a l'UV-BF ?",carte_sim
"Je ne vois pas mon nom sur la liste de distribution des cartes SIM",carte_sim
"Combien de Go recoit-on chaque mois avec la carte SIM Orange ?",carte_sim
"Comment se deroulent les examens en general ?",evaluation_deliberations
"Combien de sessions d'examens y a-t-il par an ?",evaluation_deliberations
"Existe-t-il un examen special en cas d'absence justifiee ?",evaluation_deliberations
"Y a-t-il un dispositif special si je rate un examen ?",evaluation_deliberations
"Quand ont lieu les deliberations des resultats ?",evaluation_deliberations
"Quand puis-je faire une reclamation apres les resultats ?",evaluation_deliberations
"Combien de temps ai-je pour reclamer apres la proclamation ?",evaluation_deliberations
"Existe-t-il des groupes WhatsApp officiels par filiere ?",groupe_communaute
"Comment rejoindre le groupe WhatsApp de ma filiere ?",groupe_communaute
"Comment integrer une communaute virtuelle de l'UV-BF ?",groupe_communaute
"Comment eviter les faux groupes ou arnaques sur WhatsApp ?",groupe_communaute
"Ou trouver le lien du groupe WhatsApp de ma classe ?",groupe_communaute
"Qu'est-ce qu'une communaute virtuelle a l'UV-BF ?",groupe_communaute
"Comment savoir si une information vient vraiment de l'UV-BF ?",securite
"Comment reconnaitre une fausse annonce de l'UV-BF ?",securite
"Quels sont les liens officiels des plateformes de l'UV-BF ?",securite
"Quel est le site officiel de l'UV-BF ?",securite
"Comment eviter les arnaques en ligne liees a l'UV-BF ?",securite
"Y a-t-il une filiere MPCI a l'UV-BF ?",general
"Quelles filieres en sciences du numerique existe-t-il ?",general
"Y a-t-il une filiere economie ou gestion a l'UV-BF ?",general
"Quelles sont les filieres concretes de l'UV-BF ?",general
